,index,center_name,male_take,male_pass,male_r,female_take,female_pass,female_r,take,pass,r,a,zip
0,12,Aberdeen North,1887,1095,58.0286168521463,2082,1117,53.6503362151777,3976,2213,55.658953722334,A,
1,26,Aberdeen South (Cove),1703,1054,61.8907809747504,1674,995,59.4384707287933,3385,2052,60.6203840472674,A,AB12 3GQ
2,40,Aberfeldy,54,43,79.6296296296296,48,30,62.5,102,73,71.5686274509804,A,PH15 2BJ
3,55,Abergavenny,2579,1615,62.6211709965103,2647,1542,58.2546278806196,5226,3157,60.4094910065059,A,NP7 5HT
4,70,Aberystwyth (Park Avenue),616,410,66.5584415584416,647,386,59.6599690880989,1263,796,63.0245447347585,A,
5,84,Airdrie,1794,964,53.7346711259755,1876,965,51.4392324093817,3671,1930,52.5742304549169,A,ML6 0DA
6,98,Alness,499,315,63.12625250501,509,304,59.7249508840864,1008,619,61.4087301587302,A,IV17 0PJ
7,113,Alnwick,381,259,67.9790026246719,375,233,62.1333333333333,756,492,65.0793650793651,A,NE66 1LA
8,127,Arbroath,450,257,57.1111111111111,455,266,58.4615384615385,907,523,57.6626240352811,A,DD11 2NQ
9,142,Ashfield,2986,1862,62.357669122572,3332,1871,56.1524609843938,6319,3733,59.0758031334072,A,NG17 5LA
10,157,Ashford (Kent),2067,954,46.1538461538462,1837,850,46.2710941752858,3904,1804,46.2090163934426,A,TN23 1PL
11,172,Ashford (London Middlesex),2355,1213,51.5074309978769,2073,1025,49.4452484322238,4429,2238,50.5305938135019,A,
12,187,Atherton (Manchester),2832,1473,52.0127118644068,2822,1350,47.8384124734231,5654,2823,49.9292536257517,A,M46 0SU
13,202,Aylesbury,2032,1007,49.5570866141732,1907,877,45.9884635553225,3939,1884,47.8293983244478,A,HP21 7SL
14,216,Ayr,880,475,53.9772727272727,854,444,51.9906323185012,1734,919,52.9988465974625,A,KA8 9DN
15,231,Bala,347,189,54.4668587896254,369,202,54.7425474254743,716,391,54.608938547486,B,LL23 7SP
16,244,Ballater,52,48,92.3076923076923,60,47,78.3333333333333,112,95,84.8214285714286,B,AB35 5QW
17,259,Banbury,3211,1512,47.0881345375272,3052,1371,44.9213630406291,6265,2883,46.0175578611333,B,OX16 9SD
18,273,Banff,100,70,70,117,73,62.3931623931624,217,143,65.8986175115207,B,AB45 1DL
19,288,Bangor,1563,870,55.6621880998081,1572,832,52.9262086513995,3135,1702,54.2902711323764,B,LL57 4HR
20,303,Barking (Tanner Street),4712,2097,44.5033955857385,2953,1101,37.284117846258,7665,3198,41.7221135029354,B,
21,318,Barnet (London),3342,1598,47.8156792339916,2581,1128,43.7039907012786,5926,2727,46.0175497806277,B,EN5 1AH
22,333,Barnsley,3164,1843,58.2490518331226,3123,1658,53.0899775856548,6289,3502,55.6845285418986,B,S75 2DH
23,348,Barnstaple,1465,856,58.4300341296928,1579,826,52.3115896136795,3044,1682,55.2562417871222,B,EX31 1QN
24,363,Barrow In Furness,958,584,60.9603340292276,999,565,56.5565565565566,1958,1150,58.7334014300306,B,LA14 2PN
25,378,Barry,657,431,65.6012176560122,767,476,62.0599739243807,1424,907,63.6938202247191,B,CF62 5QN
26,393,Basildon,2123,1108,52.1902967498822,2219,1120,50.4731861198738,4342,2228,51.3127590971902,B,SS14 3JS
27,408,Basingstoke,2265,1368,60.3973509933775,2123,1207,56.8535091851154,4388,2575,58.6827711941659,B,RG22 4LR
28,423,Bedford,2405,1361,56.5904365904366,2189,1133,51.7587939698493,4595,2494,54.2763873775843,B,
29,438,Belvedere (London),2143,697,32.5244983667755,1838,540,29.379760609358,3981,1237,31.0725948254207,B,DA17 5EE
30,453,Berwick-On-Tweed,188,115,61.1702127659575,188,102,54.2553191489362,376,217,57.7127659574468,B,TD15 2UY
31,465,Beverley LGV,34,19,55.8823529411765,31,19,61.2903225806452,65,38,58.4615384615385,B,
32,480,Birmingham (Garretts Green),6208,2801,45.1192010309278,5277,1938,36.7254121660034,11486,4740,41.2676301584538,B,B33 0TJ
33,495,Birmingham (Kings Heath),2688,1135,42.2247023809524,2799,1008,36.0128617363344,5487,2143,39.055950428285,B,B14 5JA
34,510,Birmingham (Kingstanding),5891,2353,39.9422848412833,5241,1642,31.3298988742606,11132,3995,35.8875314408911,B,B44 9UL
35,525,Birmingham (Shirley),1932,999,51.7080745341615,1687,773,45.8209839952579,3621,1773,48.9643744821872,B,B90 4AA
36,540,Birmingham (South Yardley),4304,1800,41.82156133829,3585,1099,30.6555090655509,7890,2899,36.7427122940431,B,B26 1EA
37,555,Birmingham (Sutton Coldfield),4361,1715,39.3258426966292,3348,992,29.6296296296296,7709,2707,35.1148008820859,B,B73 5UB
38,570,Birmingham (Wyndley),2159,1076,49.8378879110699,1955,835,42.7109974424552,4114,1911,46.4511424404473,B,
39,584,Bishopbriggs,1751,919,52.4842946887493,2001,980,48.9755122438781,3752,1899,50.6130063965885,B,G64 2QG
40,599,Bishops Stortford,2498,1236,49.4795836669336,2629,1192,45.3404336249525,5127,2428,47.3571289252974,B,CM23 3JQ
41,614,Blackburn with Darwen,2491,1244,49.9397832195905,2603,1106,42.4894352669996,5094,2350,46.1327051433058,B,BB3 0DH
42,629,Blackpool,3613,1824,50.4843620260172,3556,1604,45.1068616422947,7171,3429,47.8175986612746,B,FY2 0XE
43,644,Bletchley,4118,1973,47.9116075764934,3899,1777,45.5757886637599,8017,3750,46.7756018460771,B,MK3 6DH
44,659,Blyth,2263,1382,61.0693769332744,2288,1382,60.4020979020979,4551,2764,60.7339046363437,B,NE24 2BA
45,674,Bodmin,2759,1137,41.2105835447626,2764,1044,37.7713458755427,5523,2181,39.4894079304726,B,PL31 2JL
46,689,Bolton (Manchester),5001,3016,60.3079384123175,4624,2437,52.7032871972318,9627,5454,56.6531629791212,B,BL3 2AW
47,704,Borehamwood (London),2327,1255,53.9321014181349,1798,895,49.7775305895439,4129,2151,52.094938241705,B,
48,719,Boston,1939,1133,58.4321815368747,1706,999,58.5580304806565,3646,2133,58.5024684585848,B,PE21 8EA
49,734,Bradford (Heaton),2538,1487,58.5894405043341,3050,1323,43.3770491803279,5588,2810,50.286327845383,B,BD9 5AS
50,749,Bradford (Thornbury),3719,1984,53.3476741059425,2641,1220,46.1946232487694,6362,3204,50.3615215341088,B,BD3 7AY
51,764,Brecon,722,487,67.4515235457064,983,538,54.7304170905392,1705,1025,60.1173020527859,B,LD3 7RS
52,779,Bredbury (Manchester),1880,1035,55.0531914893617,1635,849,51.9266055045872,3517,1884,53.5683821438726,B,SK6 2QT
53,794,Brentwood (London),1713,856,49.9708114419148,1446,728,50.3457814661134,3159,1584,50.1424501424501,B,N12 7PH
54,809,Bridgend,2508,1461,58.2535885167464,2502,1363,54.4764188649081,5010,2824,56.3672654690619,B,CF31 4AD
