ethnicity,take,pass,r,year
Asian or Asian British,29945,10356,2.89156044804944,2018-19
Black or Black British,19148,6255,3.06123101518785,2018-19
Chinese,2143,827,2.5912938331318016,2018-19
Mixed,5864,2502,2.3437250199840127,2018-19
No Preference Given,1507477,694926,2.169262626524263,2018-19
Other,8151,2698,3.0211267605633805,2018-19
Prefer not to say,6086,2187,2.7828074988568816,2018-19
White,85115,42027,2.025245675399148,2018-19
Asian or Asian British,69196,25398,2.724466493424679,2017-18
Black or Black British,34171,11441,2.986714448037759,2017-18
Chinese,6527,2568,2.5416666666666665,2017-18
Mixed,17029,7642,2.2283433656110967,2017-18
No Preference Given,1210163,557069,2.1723754148947436,2017-18
Other,18009,6514,2.7646607307338043,2017-18
Prefer not to say,14675,5933,2.4734535648070115,2017-18
White,348585,179228,1.9449249001272122,2017-18
Asian or Asian British,71439,26871,2.6585910461091884,2016-17
Black or Black British,35997,12257,2.9368524108672593,2016-17
Chinese,7100,2724,2.606461086637298,2016-17
Mixed,18194,8285,2.196016898008449,2016-17
No Preference Given,1141547,530343,2.1524692510318792,2016-17
Other,19004,7215,2.633957033957034,2016-17
Prefer not to say,15430,6354,2.4283915643689014,2016-17
White,422096,220998,1.909953936234717,2016-17
Asian or Asian British,76683,28152,2.7238917306052857,2015-16
Black or Black British,39719,13312,2.983698918269231,2015-16
Chinese,7887,2977,2.6493113873026535,2015-16
Mixed,18684,8501,2.197859075402894,2015-16
No Preference Given,1145420,531906,2.1534256052761203,2015-16
Other,20114,7437,2.7045851821971225,2015-16
Prefer not to say,15527,6435,2.412898212898213,2015-16
White,443341,231905,1.911735408895884,2015-16
Asian or Asian British,67627,24573,2.7520856224311236,2014-15
Black or Black British,34770,11802,2.946110828673106,2014-15
Chinese,6969,2534,2.750197316495659,2014-15
Mixed,15324,7122,2.151642796967144,2014-15
No Preference Given,1019906,473100,2.1557937011202704,2014-15
Other,17823,6491,2.745801879525497,2014-15
Prefer not to say,12612,5227,2.412856322938588,2014-15
White,357245,187711,1.9031649716851968,2014-15
Asian or Asian British,74244,27178,2.7317683420413568,2013-14
Black or Black British,36398,12626,2.8827815618564867,2013-14
Chinese,6703,2520,2.659920634920635,2013-14
Mixed,15464,7222,2.141235114926613,2013-14
No Preference Given,926956,429331,2.1590707402912903,2013-14
Other,18783,7063,2.65935155033272,2013-14
Prefer not to say,12946,5285,2.4495742667928098,2013-14
White,386026,204313,1.8893854037677484,2013-14
Asian or Asian British,66729,24609,2.711568938193344,2012-13
Black or Black British,34542,12247,2.8204458234669714,2012-13
Chinese,5623,2142,2.6251167133520075,2012-13
Mixed,13873,6532,2.1238518064911207,2012-13
No Preference Given,935939,433361,2.159721340868237,2012-13
Other,17721,6844,2.5892752776154295,2012-13
Prefer not to say,11731,4889,2.399468193904684,2012-13
White,350292,186607,1.8771643078769822,2012-13
Asian or Asian British,69245,25029,2.7665907547245197,2011-12
Black or Black British,35797,12795,2.797733489644392,2011-12
Chinese,5438,2145,2.535198135198135,2011-12
Mixed,13969,6598,2.1171567141558048,2011-12
No Preference Given,1033235,476452,2.168602503505075,2011-12
Other,18460,6934,2.662244014998558,2011-12
Prefer not to say,11960,5081,2.3538673489470576,2011-12
White,380934,201107,1.894185682248753,2011-12
Asian or Asian British,66349,23671,2.802965654175996,2010-11
Black or Black British,33729,11890,2.8367535744322963,2010-11
Chinese,5249,2011,2.6101442068622576,2010-11
Mixed,12778,5895,2.1675996607294317,2010-11
No Preference Given,1108728,509225,2.177285090087879,2010-11
Other,17334,6517,2.659812797299371,2010-11
Prefer not to say,11342,4699,2.4137050436263037,2010-11
White,350069,180136,1.9433594617400187,2010-11
Asian or Asian British,73064,26062,2.803468651676771,2009-10
Black or Black British,34740,12206,2.8461412420121253,2009-10
Chinese,6291,2412,2.6082089552238807,2009-10
Mixed,14480,6613,2.18962649327083,2009-10
No Preference Given,946182,427340,2.2141199045256705,2009-10
Other,18979,7143,2.6570068598628027,2009-10
Prefer not to say,12385,5212,2.3762471220260935,2009-10
White,432385,218986,1.974486953503877,2009-10
Asian or Asian British,86939,30747,2.8275604123979576,2008-09
Black or Black British,38052,13477,2.823477034948431,2008-09
Chinese,7503,2826,2.6549893842887475,2008-09
Mixed,17085,7578,2.254552652414885,2008-09
No Preference Given,1017035,450266,2.2587426099239116,2008-09
Other,21801,8148,2.675625920471281,2008-09
Prefer not to say,14749,6186,2.3842547688328484,2008-09
White,543201,271741,1.9989659271144216,2008-09
Asian or Asian British,77662,27280,2.846847507331378,2007-08
Black or Black British,33577,11724,2.8639542818150803,2007-08
Chinese,7618,2755,2.765154264972777,2007-08
Mixed,16276,7162,2.272549567160011,2007-08
No Preference Given,1038182,450454,2.3047458786024766,2007-08
Other,19785,7327,2.7002866111641874,2007-08
Prefer not to say,14378,5861,2.453164988909742,2007-08
White,562125,270088,2.0812661058617934,2007-08
