centre,Sum of male_take,Sum of male_pass,Sum of female_take,Sum of female_pass,Sum of take,Sum of pass,male_pass_rate,female_pass_rate,total_pass_rate
Aberdeen North,7654,4497,9044,4653,16712,9153,58.75%,51.45%,54.77%
Aberdeen South (Cove),6833,4148,7681,4164,14523,8316,60.71%,54.21%,57.26%
Aberfeldy,85,64,97,54,182,118,75.29%,55.67%,64.84%
Abergavenny,8581,5351,9444,5246,18025,10597,62.36%,55.55%,58.79%
Aberystwyth (Park Avenue),2021,1194,2258,1181,4279,2375,59.08%,52.30%,55.50%
Airdrie,7650,3874,8507,3880,16159,7755,50.64%,45.61%,47.99%
Alness,2006,1210,1985,1161,3991,2371,60.32%,58.49%,59.41%
Alnwick,1474,1018,1651,1001,3125,2019,69.06%,60.63%,64.61%
Apr-June 2020,820,502,1749,954,4377,2442,61.22%,54.55%,55.79%
Arbroath,1517,966,1676,1053,3196,2020,63.68%,62.83%,63.20%
Ashfield,13751,8581,16489,8939,30241,17520,62.40%,54.21%,57.93%
Ashford (Kent),7738,3637,8373,3660,16111,7297,47.00%,43.71%,45.29%
Ashford (London Middlesex),11877,6171,12626,6025,24504,12196,51.96%,47.72%,49.77%
Atherton (Manchester),12444,6527,14532,6776,26976,13303,52.45%,46.63%,49.31%
Aylesbury,9225,4704,9924,4516,19149,9220,50.99%,45.51%,48.15%
Ayr,4327,2199,4526,2058,8857,4258,50.82%,45.47%,48.07%
Bala,1386,742,1433,743,2819,1485,53.54%,51.85%,52.68%
Ballater,246,200,322,219,568,419,81.30%,68.01%,73.77%
Banbury,11613,6082,12018,5865,23633,11947,52.37%,48.80%,50.55%
Banff,473,312,512,306,985,618,65.96%,59.77%,62.74%
Bangor,8123,4501,8926,4509,17050,9011,55.41%,50.52%,52.85%
Barking (Tanner Street),18003,7364,13083,4403,31086,11767,40.90%,33.65%,37.85%
Barking (Town Quay),3339,1343,2696,896,6035,2239,40.22%,33.23%,37.10%
Barnet (London),13087,5657,11845,4429,24936,10087,43.23%,37.39%,40.45%
Barnsley,10879,6120,13000,6182,23881,12303,56.26%,47.55%,51.52%
Barnstaple,5911,3417,7124,3455,13035,6872,57.81%,48.50%,52.72%
Barrow In Furness,3982,2383,4244,2254,8227,4638,59.84%,53.11%,56.38%
Barry,3394,2199,4479,2391,7873,4590,64.79%,53.38%,58.30%
Basildon,12854,5783,13758,5711,26612,11494,44.99%,41.51%,43.19%
Basingstoke,9488,5186,10259,4948,19747,10134,54.66%,48.23%,51.32%
Bedford,2405,1361,2189,1133,4595,2494,56.59%,51.76%,54.28%
Belvedere (London),10552,3758,11077,3372,21629,7130,35.61%,30.44%,32.97%
Berwick-On-Tweed,1064,701,1132,689,2196,1390,65.88%,60.87%,63.30%
Beverley LGV,247,131,287,162,534,293,53.04%,56.45%,54.87%
Birmingham (Cocks Moors Woods),3962,1814,4731,1710,8693,3524,45.78%,36.14%,40.54%
Birmingham (Garretts Green),26258,11766,30461,10474,56720,22241,44.81%,34.38%,39.21%
Birmingham (Kings Heath),11090,4992,13132,4863,24223,9856,45.01%,37.03%,40.69%
Birmingham (Kingstanding),21926,8969,23660,7424,45588,16394,40.91%,31.38%,35.96%
Birmingham (Shirley),9121,4461,9394,3996,18517,8458,48.91%,42.54%,45.68%
